                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.37145,                0.51214,                      1,                 0.7082,              0.0033303,              0.0033303,              0.0033303
                      1,                0.32585,                0.57623,                      1,                0.68838,              0.0065977,              0.0065977,              0.0065977
                      2,                0.31338,                0.56369,                      1,                0.68914,               0.009799,               0.009799,               0.009799
                      3,                0.29763,                0.61584,                      1,                 0.6647,               0.009703,               0.009703,               0.009703
                      4,                0.27503,                0.61863,                      1,                0.67316,               0.009703,               0.009703,               0.009703
                      5,                0.25078,                0.70581,                      1,                0.62978,               0.009604,               0.009604,               0.009604
                      6,                0.24126,                0.70621,                      1,                0.64147,               0.009505,               0.009505,               0.009505
                      7,                0.22957,                0.70482,                      1,                0.62967,               0.009406,               0.009406,               0.009406
                      8,                0.21641,                0.70601,                      1,                0.63676,               0.009307,               0.009307,               0.009307
                      9,                0.21278,                0.74423,                      1,                0.61716,               0.009208,               0.009208,               0.009208
                     10,                0.20518,                0.76154,                      1,                0.59821,               0.009109,               0.009109,               0.009109
                     11,                0.20015,                0.70721,                      1,                0.62242,                0.00901,                0.00901,                0.00901
                     12,                0.19525,                0.77428,                      1,                0.58695,               0.008911,               0.008911,               0.008911
                     13,                0.19009,                0.76831,                      1,                0.59638,               0.008812,               0.008812,               0.008812
                     14,                 0.1865,                0.79359,                      1,                0.57564,               0.008713,               0.008713,               0.008713
                     15,                0.18378,                0.79638,                      1,                0.58305,               0.008614,               0.008614,               0.008614
                     16,                0.18117,                0.79578,                      1,                0.57834,               0.008515,               0.008515,               0.008515
                     17,                0.17501,                0.80334,                      1,                0.57665,               0.008416,               0.008416,               0.008416
                     18,                0.17313,                0.82046,                      1,                0.56593,               0.008317,               0.008317,               0.008317
                     19,                0.16545,                0.83479,                      1,                0.55579,               0.008218,               0.008218,               0.008218
                     20,                0.16453,                0.82544,                      1,                 0.5612,               0.008119,               0.008119,               0.008119
                     21,                0.16286,                0.81827,                      1,                0.56192,                0.00802,                0.00802,                0.00802
                     22,                0.15936,                0.83639,                      1,                0.55445,               0.007921,               0.007921,               0.007921
                     23,                0.15643,                0.84236,                      1,                   0.55,               0.007822,               0.007822,               0.007822
                     24,                0.15545,                0.83658,                      1,                0.55314,               0.007723,               0.007723,               0.007723
                     25,                0.15066,                0.85569,                      1,                0.54542,               0.007624,               0.007624,               0.007624
                     26,                 0.1488,                0.85311,                      1,                0.54284,               0.007525,               0.007525,               0.007525
                     27,                0.14452,                0.84932,                      1,                0.54284,               0.007426,               0.007426,               0.007426
                     28,                0.14527,                0.85311,                      1,                0.54327,               0.007327,               0.007327,               0.007327
                     29,                0.13991,                0.86107,                      1,                0.53958,               0.007228,               0.007228,               0.007228
                     30,                0.13995,                0.86146,                      1,                0.53835,               0.007129,               0.007129,               0.007129
                     31,                0.13554,                0.86206,                      1,                0.53705,                0.00703,                0.00703,                0.00703
                     32,                0.13287,                0.86783,                      1,                0.53365,               0.006931,               0.006931,               0.006931
                     33,                0.12913,                0.87301,                      1,                0.53047,               0.006832,               0.006832,               0.006832
                     34,                0.13071,                0.86624,                      1,                  0.533,               0.006733,               0.006733,               0.006733
                     35,                0.12795,                0.87341,                      1,                0.52982,               0.006634,               0.006634,               0.006634
                     36,                0.12479,                0.87122,                      1,                0.52994,               0.006535,               0.006535,               0.006535
