                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.12725,                0.82837,                      1,                0.24081,              0.0033316,              0.0033316,              0.0033316
                      1,                0.10069,                 0.8337,                      1,                0.23191,               0.006533,               0.006533,               0.006533
                      2,                0.09896,                 0.5978,                      1,                0.32414,              0.0096024,              0.0096024,              0.0096024
                      3,                0.18252,                0.79674,                      1,                0.25709,               0.009406,               0.009406,               0.009406
                      4,                0.10211,                0.83459,                      1,                0.23329,               0.009406,               0.009406,               0.009406
                      5,                0.08244,                0.90231,                      1,                0.21143,               0.009208,               0.009208,               0.009208
                      6,                0.07343,                0.90664,                      1,                 0.2048,                0.00901,                0.00901,                0.00901
                      7,                0.06623,                 0.8921,                      1,                0.21023,               0.008812,               0.008812,               0.008812
                      8,                0.06277,                 0.8841,                      1,                0.21481,               0.008614,               0.008614,               0.008614
                      9,                0.06091,                0.89532,                      1,                0.20895,               0.008416,               0.008416,               0.008416
                     10,                0.05868,                0.91208,                      1,                0.20214,               0.008218,               0.008218,               0.008218
                     11,                0.05606,                 0.9022,                      1,                0.20591,                0.00802,                0.00802,                0.00802
                     12,                0.05488,                0.90564,                      1,                0.20373,               0.007822,               0.007822,               0.007822
                     13,                 0.0533,                0.90653,                      1,                0.20338,               0.007624,               0.007624,               0.007624
                     14,                0.05186,                0.91186,                      1,                0.19999,               0.007426,               0.007426,               0.007426
                     15,                0.05201,                0.92052,                      1,                 0.1974,               0.007228,               0.007228,               0.007228
                     16,                0.04998,                0.91052,                      1,                0.19983,                0.00703,                0.00703,                0.00703
                     17,                0.04804,                0.92484,                      1,                0.19509,               0.006832,               0.006832,               0.006832
                     18,                0.04844,                0.92507,                      1,                0.19497,               0.006634,               0.006634,               0.006634
                     19,                0.04798,                 0.9264,                      1,                0.19392,               0.006436,               0.006436,               0.006436
                     20,                0.04634,                0.92351,                      1,                 0.1944,               0.006238,               0.006238,               0.006238
                     21,                0.04516,                0.92462,                      1,                0.19414,                0.00604,                0.00604,                0.00604
                     22,                0.04429,                0.92274,                      1,                0.19444,               0.005842,               0.005842,               0.005842
                     23,                0.04387,                0.92129,                      1,                0.19466,               0.005644,               0.005644,               0.005644
                     24,                0.04377,                0.92462,                      1,                0.19392,               0.005446,               0.005446,               0.005446
                     25,                0.04375,                 0.9274,                      1,                0.19258,               0.005248,               0.005248,               0.005248
                     26,                0.04225,                0.92773,                      1,                0.19163,                0.00505,                0.00505,                0.00505
                     27,                0.04179,                0.92951,                      1,                0.19098,               0.004852,               0.004852,               0.004852
                     28,                0.04198,                0.92951,                      1,                0.19079,               0.004654,               0.004654,               0.004654
                     29,                0.04075,                0.92973,                      1,                0.19077,               0.004456,               0.004456,               0.004456
                     30,                0.03911,                0.93028,                      1,                0.19045,               0.004258,               0.004258,               0.004258
                     31,                0.03887,                0.93151,                      1,                0.18991,                0.00406,                0.00406,                0.00406
                     32,                0.03875,                0.93373,                      1,                0.18939,               0.003862,               0.003862,               0.003862
                     33,                 0.0371,                 0.9345,                      1,                0.18889,               0.003664,               0.003664,               0.003664
                     34,                0.03764,                 0.9345,                      1,                0.18882,               0.003466,               0.003466,               0.003466
                     35,                0.03643,                0.93428,                      1,                0.18872,               0.003268,               0.003268,               0.003268
                     36,                0.03605,                0.93472,                      1,                0.18848,                0.00307,                0.00307,                0.00307
                     37,                0.03443,                0.93506,                      1,                0.18819,               0.002872,               0.002872,               0.002872
                     38,                0.03436,                0.93661,                      1,                0.18771,               0.002674,               0.002674,               0.002674
                     39,                0.03226,                0.93683,                      1,                0.18751,               0.002476,               0.002476,               0.002476
                     40,                0.03326,                0.93761,                      1,                0.18727,               0.002278,               0.002278,               0.002278
                     41,                0.03133,                 0.9385,                      1,                0.18696,                0.00208,                0.00208,                0.00208
                     42,                0.03153,                0.93861,                      1,                0.18679,               0.001882,               0.001882,               0.001882
                     43,                0.02973,                0.93939,                      1,                0.18643,               0.001684,               0.001684,               0.001684
                     44,                0.02996,                0.94072,                      1,                0.18598,               0.001486,               0.001486,               0.001486
                     45,                0.02904,                0.94205,                      1,                 0.1855,               0.001288,               0.001288,               0.001288
                     46,                0.02919,                0.94227,                      1,                  0.185,                0.00109,                0.00109,                0.00109
                     47,                0.02792,                0.94405,                      1,                0.18432,               0.000892,               0.000892,               0.000892
                     48,                0.02626,                0.94438,                      1,                0.18391,               0.000694,               0.000694,               0.000694
                     49,                0.02576,                0.94494,                      1,                0.18347,               0.000496,               0.000496,               0.000496
