                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.12533,                0.85113,                      1,                0.23316,              0.0033316,              0.0033316,              0.0033316
                      1,                0.09628,                0.83626,                      1,                 0.2308,               0.006533,               0.006533,               0.006533
                      2,                 0.0914,                0.85935,                      1,                0.23055,              0.0096024,              0.0096024,              0.0096024
                      3,                 0.0993,                0.85802,                      1,                0.22926,               0.009406,               0.009406,               0.009406
                      4,                  0.089,                0.88377,                      1,                0.21711,               0.009406,               0.009406,               0.009406
                      5,                0.06615,                0.84869,                      1,                0.22687,               0.009208,               0.009208,               0.009208
                      6,                0.06409,                0.89454,                      1,                0.20873,                0.00901,                0.00901,                0.00901
                      7,                 0.0575,                0.87933,                      1,                0.21273,               0.008812,               0.008812,               0.008812
                      8,                0.05812,                0.88799,                      1,                0.21131,               0.008614,               0.008614,               0.008614
                      9,                 0.0551,                0.91985,                      1,                0.19821,               0.008416,               0.008416,               0.008416
                     10,                0.05147,                0.92285,                      1,                0.19721,               0.008218,               0.008218,               0.008218
                     11,                0.04873,                0.91141,                      1,                0.19982,                0.00802,                0.00802,                0.00802
                     12,                0.04706,                0.91552,                      1,                0.19675,               0.007822,               0.007822,               0.007822
                     13,                0.04814,                0.91441,                      1,                0.19848,               0.007624,               0.007624,               0.007624
                     14,                0.04545,                0.91219,                      1,                0.19869,               0.007426,               0.007426,               0.007426
                     15,                0.04588,                 0.9214,                      1,                0.19576,               0.007228,               0.007228,               0.007228
                     16,                  0.044,                 0.9173,                      1,                0.19761,                0.00703,                0.00703,                0.00703
                     17,                0.04444,                0.91829,                      1,                0.19627,               0.006832,               0.006832,               0.006832
                     18,                0.04356,                0.92185,                      1,                0.19497,               0.006634,               0.006634,               0.006634
                     19,                0.04172,                0.92762,                      1,                0.19243,               0.006436,               0.006436,               0.006436
                     20,                0.04152,                0.92473,                      1,                0.19272,               0.006238,               0.006238,               0.006238
                     21,                  0.039,                0.92418,                      1,                0.19309,                0.00604,                0.00604,                0.00604
                     22,                 0.0402,                0.92706,                      1,                0.19238,               0.005842,               0.005842,               0.005842
                     23,                0.04016,                0.92618,                      1,                0.19246,               0.005644,               0.005644,               0.005644
                     24,                0.03915,                0.92706,                      1,                0.19189,               0.005446,               0.005446,               0.005446
                     25,                 0.0378,                0.93017,                      1,                0.19059,               0.005248,               0.005248,               0.005248
                     26,                0.03634,                0.93139,                      1,                0.19063,                0.00505,                0.00505,                0.00505
                     27,                 0.0376,                0.93217,                      1,                0.18994,               0.004852,               0.004852,               0.004852
                     28,                0.03599,                0.93195,                      1,                0.18985,               0.004654,               0.004654,               0.004654
                     29,                0.03516,                0.93317,                      1,                0.18924,               0.004456,               0.004456,               0.004456
                     30,                0.03395,                 0.9325,                      1,                0.18909,               0.004258,               0.004258,               0.004258
                     31,                0.03394,                0.93406,                      1,                0.18875,                0.00406,                0.00406,                0.00406
                     32,                0.03285,                0.93484,                      1,                0.18847,               0.003862,               0.003862,               0.003862
                     33,                0.03136,                 0.9355,                      1,                0.18808,               0.003664,               0.003664,               0.003664
                     34,                0.03064,                0.93539,                      1,                0.18798,               0.003466,               0.003466,               0.003466
                     35,                0.03009,                0.93606,                      1,                0.18781,               0.003268,               0.003268,               0.003268
                     36,                0.02926,                0.93583,                      1,                 0.1876,                0.00307,                0.00307,                0.00307
                     37,                0.02803,                 0.9365,                      1,                0.18728,               0.002872,               0.002872,               0.002872
                     38,                0.02853,                 0.9375,                      1,                0.18683,               0.002674,               0.002674,               0.002674
                     39,                0.02649,                0.93783,                      1,                0.18648,               0.002476,               0.002476,               0.002476
                     40,                0.02621,                 0.9385,                      1,                0.18607,               0.002278,               0.002278,               0.002278
                     41,                0.02494,                0.93872,                      1,                0.18576,                0.00208,                0.00208,                0.00208
                     42,                0.02411,                0.93972,                      1,                0.18532,               0.001882,               0.001882,               0.001882
                     43,                0.02293,                 0.9395,                      1,                0.18516,               0.001684,               0.001684,               0.001684
                     44,                0.02236,                0.94072,                      1,                0.18474,               0.001486,               0.001486,               0.001486
                     45,                  0.022,                0.94194,                      1,                0.18415,               0.001288,               0.001288,               0.001288
                     46,                0.02152,                0.94261,                      1,                0.18367,                0.00109,                0.00109,                0.00109
                     47,                0.02124,                0.94416,                      1,                0.18325,               0.000892,               0.000892,               0.000892
                     48,                0.01863,                0.94527,                      1,                0.18293,               0.000694,               0.000694,               0.000694
                     49,                0.01836,                0.94627,                      1,                0.18262,               0.000496,               0.000496,               0.000496
